FID,vid,cid,id,source,project,pcode,name,visit_date,visit_onsite,visit_onsite_novisitreason,geom,longitude,latitude,location_origin,province,province_old,territoire,collectivite,groupement,village,workers_numb,access_dry,access_wet,is_3t_mine,is_gold_mine,mineral1,selling_points_mineral1,final_destination_mineral1,mineral2,selling_points_mineral2,final_destination_mineral2,mineral3,selling_points_mineral3,final_destination_mineral3,mercury,presence,interference,armed_group1,type_armed_group1,frequency_armed_group1,taxation_armed_group1,commerce_taxation_armed_group1,entrance_taxation_armed_group1,monopoly_armed_group1,buying_minerals_armed_group1,digging_armed_group1,forced_labour_armed_group1,pillaging_armed_group1,armed_group2,type_armed_group2,frequency_armed_group2,taxation_armed_group2,commerce_taxation_armed_group2,entrance_taxation_armed_group2,monopoly_armed_group2,buying_minerals_armed_group2,digging_armed_group2,forced_labour_armed_group2,pillaging_armed_group2,state_service1,state_service2,state_service3,state_service4,itsci,traceability,qualification,childunder15,childunder15work,women,womenwork
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e89,3222,2585,168,IPIS,IPIS - IOM 2016-2018,codmine01196,Kalalalala,2017-04-01,1,,POINT (27.360684 -7.544566),27.360684,-7.544566,GPS,Haut-Lomami,Katanga,Malemba-Nkulu,Museka,Kiwala-nord,Kanunka,412,carmoto,,1,0,Cassitérite,Kanunka,Lubumbashi,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,SAESSCAM,iTSCi (via SAESSCAM),Division des mines,Police des Mines,Actif,iTSCI,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e8a,3223,2586,473,IPIS,IPIS - IOM 2016-2018,codmine01338,Katovu,2017-04-01,0,Insécurité,POINT (28.7386 -1.5357),28.7386,-1.5357,GPS,Nord-Kivu,Nord-Kivu,Masisi,Osso-Banyungu,Buabo,,,,,1,0,Coltan,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e8b,3224,2587,208,IPIS,IPIS - IOM 2016-2018,codmine01859,Vatican,2017-04-01,1,,POINT (27.7604383333 -3.7714533333),27.76043833,-3.77145333,GPS,Sud-Kivu,Sud-Kivu,Shabunda,Wakabango,Ikama-Kasanza,Kabilongo,20,more2h,,0,1,Or,Kitindi,Bukavu,,,,,,,0,1,1,Raïa Mutomboki,Groupe armé local,Occasionelle,0,0,0,0,0,0,0,1,,0,,,,,,,,,,SAESSCAM,Division des mines,,,,,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e8c,3225,2588,309,IPIS,IPIS - IOM 2016-2018,codmine02846,Kamulungu,2017-04-01,1,,POINT (27.7668466667 -3.7721466667),27.76684667,-3.77214667,GPS,Sud-Kivu,Sud-Kivu,Shabunda,Wakabango,Ikama kasanza,Kabilongo,20,more2h,,0,1,Or,Kitindi,Bukavu,,,,,,,0,1,1,Raïa Mutomboki,Groupe armé local,Occasionelle,0,0,0,0,0,0,0,1,,0,,,,,,,,,,SAESSCAM,Division des mines,,,,,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e8d,3226,2589,313,IPIS,IPIS - IOM 2016-2018,codmine02850,Gwado,2017-04-01,1,,POINT (27.763255 -3.7698633333),27.763255,-3.76986333,GPS,Sud-Kivu,Sud-Kivu,Shabunda,Wakabango,Ikama kasanza,Kabilongo,27,more2h,,0,1,Or,Kitindi,Bukavu,,,,,,,0,1,1,Raïa Mutomboki,Groupe armé local,Occasionelle,0,0,0,0,0,0,0,1,,0,,,,,,,,,,SAESSCAM,Division des mines,,,,,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e8e,3227,2590,317,IPIS,IPIS - IOM 2016-2018,codmine02854,Mont Ngaliema / Misela,2017-04-01,1,,POINT (27.760585 -3.7671466667),27.760585,-3.76714667,GPS,Sud-Kivu,Sud-Kivu,Shabunda,Wakabango,Ikama kasanza,Kabilongo,32,more2h,,0,1,Or,Kitindi,Bukavu,,,,,,,0,1,1,Raïa Mutomboki,Groupe armé local,Occasionelle,0,0,0,0,0,0,0,1,,0,,,,,,,,,,SAESSCAM,Division des mines,,,,,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e8f,3228,2591,322,IPIS,IPIS - IOM 2016-2018,codmine02859,Musafiri,2017-04-01,1,,POINT (27.4124 -7.5415166667),27.4124,-7.54151667,GPS,Tanganyika,Katanga,Manono,Kiluba,Muyumba,Kanunka,600,carmoto,,1,0,Cassitérite,Kanunka,Lubumbashi,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,SAESSCAM,iTSCi (via SAESSCAM),Division des mines,Police des Mines,Actif,iTSCI,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e90,3229,2592,19,IPIS,IPIS - IOM 2016-2018,codmine00319,Koyi,2017-04-02,1,,POINT (28.9037777778 -1.5573888889),28.90377778,-1.55738889,GPS,Nord-Kivu,Nord-Kivu,Masisi,Bahunde,Matanda,Luhundje,20,less2h,,1,0,Coltan,Rubaya,Goma,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,SAESSCAM,iTSCi (via SAESSCAM),Division des mines,,Actif,iTSCI,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e91,3230,2593,216,IPIS,IPIS - IOM 2016-2018,codmine02161,Karembo,2017-04-02,1,,POINT (28.55766 -2.8189516667),28.55766,-2.81895167,GPS,Sud-Kivu,Sud-Kivu,Walungu,Ngweshe,Tubimbi,Kalongo,16,less2h,,1,0,Wolframite,Tubimbi,Bukavu,,,,,,,,1,1,Raïa Mutomboki,Groupe armé local,Une fois par semaine,1,0,0,0,0,0,0,1,,0,,,,,,,,,,Division des mines,,,,,,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e92,3231,2594,13,IPIS,IPIS - IOM 2016-2018,codmine00309,D3 Bibatama,2017-04-03,1,,POINT (28.893558 -1.584475),28.893558,-1.584475,GPS,Nord-Kivu,Nord-Kivu,Masisi,Bahunde,Muvunyi-Karuba,Rugeshi/Humule,150,less2h,,1,0,Coltan,Rubaya,Goma,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,SAESSCAM,iTSCi (via SAESSCAM),Division des mines,,Actif,iTSCI,,,,,
