Mininum Longitude,Minimum Latitude,Maximum Longitude,Maximum Latitude,Percent Vegetation Loss,Percent Bare Initial,Percent Significant VH Values,Average NIR/G,Average SWIR1/B,NASA Elev,GEDI Elev,Elev Loss,GEDI Qual. Flag,B5 Value,B6 Value,Center Lon,Center Lat,Elevation Score,Band Variation Score,Status
26.97425465,-10.39368873,26.97654158,-10.39143953,55.49114955,89.27708068,11.48161283,0.374253981,0.581444892,958.7040133,-9689.939836,-10640.20215,0.317697228,0.186746495,0.231416802,26.97539811,-10.39256413,3,2,Pass,Fail
26.97654158,-10.39368873,26.97882851,-10.39143953,83.06700745,87.43883467,33.54594669,0.362353693,0.574744926,955.6405601,-1038.915279,-1988.698761,0.214285714,0.200669191,0.244084125,26.97768505,-10.39256413,4,4,Pass,Pass
26.95367225,-10.39593792,26.95595918,-10.39368873,59.94220371,53.67665083,33.76666496,0.36714757,0.590152994,1000.753156,-258.4978892,-1252.027181,0.319196429,0.152449812,0.179379066,26.95481572,-10.39481332,4,4,Pass,Pass
26.95595918,-10.39593792,26.95824612,-10.39368873,100,99.69382081,27.23166644,0.353745507,0.583821717,987.8484244,990.3150151,7.585165077,1,0.175544552,0.205395093,26.95710265,-10.39481332,4,1,Pass,Pass
26.95824612,-10.39593792,26.96053305,-10.39368873,100,99.57127156,47.68029996,0.345785729,0.588646816,979.3964228,-630.5286203,-1603.978301,0.160646388,0.177492688,0.204770003,26.95938958,-10.39481332,4,0,Pass,Pass
26.96053305,-10.39593792,26.96281998,-10.39368873,100,99.6938208,47.87877321,0.359091456,0.617512387,973.2778947,-5177.170668,-6143.937083,-999,0.178159686,0.208926475,26.96167652,-10.39481332,5,1,Pass,Pass
26.96281998,-10.39593792,26.96510692,-10.39368873,100,99.50999694,71.16190355,0.334012591,0.60993965,970.7549541,972.9212512,8.525720811,1,0.213576494,0.240953752,26.96396345,-10.39481332,4,1,Pass,Pass
26.96968078,-10.39593792,26.97196771,-10.39368873,0,99.57127139,22.57171214,0.266858231,0.509718226,964.0644804,1001.941237,45.79531609,-999,0.207475372,0.225667237,26.97082425,-10.39481332,5,5,Pass,Fail
26.97425465,-10.39593792,26.97654158,-10.39368873,100,99.57127173,13.08645361,0.384130399,0.580276974,957.5167793,-4698.196068,-5649.2204,0.64,0.184882354,0.234575783,26.97539811,-10.39481332,5,3,Pass,Fail
26.97654158,-10.39593792,26.97882851,-10.39368873,76.19052803,80.94383869,23.39348649,0.372402252,0.578977963,956.2068775,3788.901367,2838.326599,-999,0.175026792,0.217673103,26.97768505,-10.39481332,4,4,Pass,Fail
26.97882851,-10.39593792,26.98111544,-10.39368873,40.20621745,64.82863087,21.18756341,0.410540689,0.599956566,954.2766087,2068.965812,1120.950757,0.604477612,0.16234972,0.212445963,26.97997198,-10.39481332,5,5,Pass,Fail
26.95595918,-10.39818712,26.95824612,-10.39593792,24.06160235,23.9584473,34.7978778,0.369938254,0.604039594,1000.265326,956.3922283,-31.21792847,0.987925357,0.149903052,0.175468877,26.95710265,-10.39706252,4,3,Pass,Pass
26.95824612,-10.39818712,26.96053305,-10.39593792,95.14706946,91.97325463,62.97807978,0.360751738,0.609810828,990.5229815,-2923.662468,-3908.40111,0.297633873,0.179097113,0.205052398,26.95938958,-10.39706252,4,1,Pass,Pass
26.95824612,-10.40043631,26.96053305,-10.39818712,40.04173429,36.27459251,45.19867213,0.344851591,0.591660136,1015.35541,62.00045964,-939.3240555,0.88952164,0.138271781,0.160103029,26.95938958,-10.39931171,3,3,Pass,Pass
26.97425465,-10.40268551,26.97654158,-10.40043631,100,6.862790118,16.85853648,0.39422731,0.607322933,965.6417935,1665.630862,710.5774325,0.276595745,0.130927471,0.166815864,26.97539811,-10.40156091,4,7,Pass,Fail
26.96510692,-10.4049347,26.96739385,-10.40268551,100,33.14966258,11.16732604,0.341748898,0.622788501,973.43124,-999,-999,-999,0.165421081,0.192940595,26.96625038,-10.4038101,5,4,Pass,Fail
